Paper Title,Figure Number,Point ID,P/e_Source,e/D_Source,Alpha_Source,Geometry_Source,Aspect_Ratio_Source,Standard_Ratio,Standard_Ratio_Method,Standard_Baseline_Type,Processing_Note,Prandtl
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 1,raw,raw,raw,raw,raw,1.1075949367088607,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 2,raw,raw,raw,raw,raw,1.1907337110699665,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 3,raw,raw,raw,raw,raw,1.241893506173728,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 4,raw,raw,raw,raw,raw,1.3327331776734102,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 5,raw,raw,raw,raw,raw,1.3873614061255046,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 6,raw,raw,raw,raw,raw,1.4669560828436023,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 7,raw,raw,raw,raw,raw,1.5353677842491111,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 8,raw,raw,raw,raw,raw,1.5956921966022581,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 9,raw,raw,raw,raw,raw,1.6498600552446299,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 10,raw,raw,raw,raw,raw,1.6991637669188355,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 11,raw,raw,raw,raw,raw,1.4242187023373587,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 12,raw,raw,raw,raw,raw,1.7311242813330752,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 13,raw,raw,raw,raw,raw,1.874156031103233,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 14,raw,raw,raw,raw,raw,1.9691581248232968,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 15,raw,raw,raw,raw,raw,2.1294523783213584,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 16,raw,raw,raw,raw,raw,2.2287596868132256,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 17,raw,raw,raw,raw,raw,2.3678013239904474,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 18,raw,raw,raw,raw,raw,2.3949581447099466,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 19,raw,raw,raw,raw,raw,2.5213397831698847,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 20,raw,raw,raw,raw,raw,1.5630799315933386,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 21,raw,raw,raw,raw,raw,1.6219594517049734,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 22,raw,raw,raw,raw,raw,1.7687574178837941,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 23,raw,raw,raw,raw,raw,1.9158039429055271,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 24,raw,raw,raw,raw,raw,2.058665312315265,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 25,raw,raw,raw,raw,raw,2.1294523783213584,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 26,raw,raw,raw,raw,raw,2.2287596868132256,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 27,raw,raw,raw,raw,raw,2.3163273821645682,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 28,raw,raw,raw,raw,raw,2.3949581447099466,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 29,raw,raw,raw,raw,raw,1.077427149497289,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 30,raw,raw,raw,raw,raw,1.1703717848692223,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 31,raw,raw,raw,raw,raw,1.2042603696230088,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 32,raw,raw,raw,raw,raw,1.249437354068822,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 33,raw,raw,raw,raw,raw,1.3426078123795206,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 34,raw,raw,raw,raw,raw,1.4196349188809054,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 35,raw,raw,raw,raw,raw,1.5353677842491111,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 36,raw,raw,raw,raw,raw,1.5442182547763788,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 37,raw,raw,raw,raw,raw,1.5966387631399643,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 38,raw,raw,raw,raw,raw,0.8679274259839272,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 39,raw,raw,raw,raw,raw,0.8280341292659064,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 40,raw,raw,raw,raw,raw,0.8279290041158185,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 41,raw,raw,raw,raw,raw,0.8329582360458814,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 42,raw,raw,raw,raw,raw,0.8055646874277124,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 43,raw,raw,raw,raw,raw,0.8044597873658466,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 44,raw,raw,raw,raw,raw,0.7924478886447025,Blasius,Raw Data,Raw f normalized using Blasius,0.71
Heat Transfer Enhancement in Channels With Turbulence Promoters,Fig 4,pt 45,raw,raw,raw,raw,raw,0.8235830692140688,Blasius,Raw Data,Raw f normalized using Blasius,0.71
